అ	a
అద్యక్షుడు	a d y a k sx u dx u
అద్యయనం	a d y a y a n a q
అధగమిస్తూ	a dh a g a m i s t uu
అధనపు	a dh a n a p u
అధలకు	a dh a l a k u
అధారపడి	a dh aa r a p a dx i
అధారంగా	a dh aa r a q g aa
అధి	a dh i
అధిక	a dh i k a
అధికమయ్యే	a dh i k a m a y y ee
అధికమవుతోంది	a dh i k a m a w u t oo q d i
అధికమించేందుకు	a dh i k a m i q c ee q d u k u
అధికమైన	a dh i k a m ai n a
అధికవర్గాలు	a dh i k a w a r g aa l u
అధికశాతం	a dh i k a sh aa t a q
అధికా	a dh i k aa
అధికార	a dh i k aa r a
అధికారపక్ష	a dh i k aa r a p a k sx a
అధికారపక్షంపై	a dh i k aa r a p a k sx a q p ai
అధికారపార్టీ	a dh i k aa r a p aa r tx ii
అధికారమే	a dh i k aa r a m ee
అధికారయంత్రాంగం	a dh i k aa r a y a q t r aa q g a q
అధికారలు	a dh i k aa r a l u
అధికారవర్గాల్లో	a dh i k aa r a w a r g aa l l oo
అధికారానికి	a dh i k aa r aa n i k i
అధికారాన్ని	a dh i k aa r aa n n i
అధికారాలన్నీ	a dh i k aa r aa l a n n ii
అధికారాలు	a dh i k aa r aa l u
అధికారాలంటూ	a dh i k aa r aa l a q tx uu
అధికారి	a dh i k aa r i
అధికారిక	a dh i k aa r i k a
అధికారికి	a dh i k aa r i k i
అధికారికంగా	a dh i k aa r i k a q g aa
అధికారిని	a dh i k aa r i n i
అధికారినైనా	a dh i k aa r i n ai n aa
అధికారిపై	a dh i k aa r i p ai
అధికారు	a dh i k aa r u
అధికారుల	a dh i k aa r u l a
అధికారులకు	a dh i k aa r u l a k u
అధికారులతో	a dh i k aa r u l a t oo
అధికారులను	a dh i k aa r u l a n u
అధికారులపై	a dh i k aa r u l a p ai
అధికారులపైన	a dh i k aa r u l a p ai n a
అధికారులలో	a dh i k aa r u l a l oo
అధికారులు	a dh i k aa r u l u
అధికారులూ	a dh i k aa r u l uu
అధికారులే	a dh i k aa r u l ee
అధికారులంటున్నారు	a dh i k aa r u l a q tx u n n aa r u
అధికారుల్లో	a dh i k aa r u l l oo
అధికారం	a dh i k aa r a q
అధికారంగా	a dh i k aa r a q g aa
అధికారంలొకి	a dh i k aa r a q l o k i
అధికారంలో	a dh i k aa r a q l oo
అధికారంలోకి	a dh i k aa r a q l oo k i
అధికారంలోకొచ	a dh i k aa r a q l oo k o c a
అధికారంలోకొచ్చాక	a dh i k aa r a q l oo k o c c aa k a
అధికారంలోకొస్తే	a dh i k aa r a q l oo k o s t ee
అధికార్లతోపాటు	a dh i k aa r l a t oo p aa tx u
అధికార్లు	a dh i k aa r l u
అధికంగా	a dh i k a q g aa
అధికంచేసి	a dh i k a q c ee s i
అధిక్యం	a dh i k y a q
అధిగమిరచేరదుకు	a dh i g a m i r a c ee r a d u k u
అధిగమిస్తారనేది	a dh i g a m i s t aa r a n ee d i
అధిగమిస్తారనేదీ	a dh i g a m i s t aa r a n ee d ii
అధిగమిస్తూ	a dh i g a m i s t uu
అధిగమించడానికి	a dh i g a m i q c a dx aa n i k i
అధిగమించలేకపోయాడు	a dh i g a m i q c a l ee k a p oo y aa dx u
అధిగమించామని	a dh i g a m i q c aa m a n i
అధిగమించి	a dh i g a m i q c i
అధిగమించే	a dh i g a m i q c ee
అధిగమించేందుకు	a dh i g a m i q c ee q d u k u
అధితిగా	a dh i t i g aa
అధినాయకత్వం	a dh i n aa y a k a t w a q
అధినాయకత్వంతో	a dh i n aa y a k a t w a q t oo
అధినేత	a dh i n ee t a
అధిపతి	a dh i p a t i
అధిపతులతో	a dh i p a t u l a t oo
అధిపత్యంలో	a dh i p a t y a q l oo
అధిమించే	a dh i m i q c ee
అధిరోహించగలుగుతారు	a dh i r oo h i q c a g a l u g u t aa r u
అధిష్టానమూ	a dh i sx tx aa n a m uu
అధిష్టానవర్గం	a dh i sx tx aa n a w a r g a q
అధిష్టానవర్గంవద్ద	a dh i sx tx aa n a w a r g a q w a d d a
అధిష్టానానికి	a dh i sx tx aa n aa n i k i
అధిష్టానాన్ని	a dh i sx tx aa n aa n n i
అధిష్టానం	a dh i sx tx aa n a q
అధిష్టానంపై	a dh i sx tx aa n a q p ai
అధిష్ఠాన	a dh i sx txh aa n a
అధిష్ఠానమే	a dh i sx txh aa n a m ee
అధిష్ఠానవర్గం	a dh i sx txh aa n a w a r g a q
అధిష్ఠానాన్ని	a dh i sx txh aa n aa n n i
అధిష్ఠానం	a dh i sx txh aa n a q
అధీనంలోకి	a dh ii n a q l oo k i
అధునాతన	a dh u n aa t a n a
అధునిత	a dh u n i t a
అధైర్య	a dh ai r y a
అధ్బుత	a dh b u t a
అధ్బుతాలు	a dh b u t aa l u
అధ్భుత	a dh bh u t a
అధ్యక్ష	a dh y a k sx a
అధ్యక్షత	a dh y a k sx a t a
అధ్యక్షతన	a dh y a k sx a t a n a
అధ్యక్షతను	a dh y a k sx a t a n u
అధ్యక్షుడి	a dh y a k sx u dx i
అధ్యక్షుడిగా	a dh y a k sx u dx i g aa
అధ్యక్షుడు	a dh y a k sx u dx u
అధ్యక్షుడుగా	a dh y a k sx u dx u g aa
అధ్యక్షుడే	a dh y a k sx u dx ee
అధ్యక్షురాలిగా	a dh y a k sx u r aa l i g aa
అధ్యక్షురాలు	a dh y a k sx u r aa l u
అధ్యక్షురాలుగా	a dh y a k sx u r aa l u g aa
అధ్యక్షులు	a dh y a k sx u l u
అధ్యక్షులుగా	a dh y a k sx u l u g aa
అధ్యక్ష్యులు	a dh y a k sx y u l u
అధ్యయన	a dh y a y a n a
అధ్యయనపూర్వక	a dh y a y a n a p uu r w a k a
అధ్యయనానికి	a dh y a y a n aa n i k i
అధ్యయనాన్ని	a dh y a y a n aa n n i
అధ్యయనాలు	a dh y a y a n aa l u
అధ్యయనం	a dh y a y a n a q
అధ్యరంలో	a dh y a r a q l oo
అధ్యాత్మిక	a dh y aa t m i k a
అధ్యాపక	a dh y aa p a k a
అధ్యాపకుడు	a dh y aa p a k u dx u
అధ్యాపకులను	a dh y aa p a k u l a n u
అధ్యాపకులనూ	a dh y aa p a k u l a n uu
అధ్యాపకులు	a dh y aa p a k u l u
అధ్యాపకులుగా	a dh y aa p a k u l u g aa
అధ్వానంగా	a dh w aa n a q g aa
అన	a n a
అనక	a n a k a
అనకపోతే	a n a k a p oo t ee
అనకాపల్లి	a n a k aa p a l l i
అనకాపల్లిలో	a n a k aa p a l l i l oo
అనకాపల్లిలోని	a n a k aa p a l l i l oo n i
అనకు	a n a k u
అనకుండా	a n a k u q dx aa
అనకూడదు	a n a k uu dx a d u
అనకొండలు	a n a k o q dx a l u
అనగ	a n a g a
అనగనగా	a n a g a n a g aa
అనగా	a n a g aa
అనగానే	a n a g aa n ee
అనగాహన	a n a g aa h a n a
అనగండే	a n a g a q dx ee
అనటం	a n a tx a q
అనట్లేదు	a n a tx l ee d u
అనడానికి	a n a dx aa n i k i
అనడాన్ని	a n a dx aa n n i
అనడు	a n a dx u
అనడం	a n a dx a q
అనది	a n a d i
అనధికారికంగా	a n a dh i k aa r i k a q g aa
అనని	a n a n i
అనను	a n a n u
అననుకూల	a n a n u k uu l a
అనన్నాడు	a n a n n aa dx u
అనపర్తి	a n a p a r t i
అనపర్తిలో	a n a p a r t i l oo
అనమాట	a n a m aa tx a
అనరించారు	a n a r i q c aa r u
అనరు	a n a r u
అనర్దపే	a n a r d a p ee
అనర్హత	a n a r h a t a
అనర్హులను	a n a r h u l a n u
అనర్హులు	a n a r h u l u
అనర్హులుగా	a n a r h u l u g aa
అనలేదు	a n a l ee d u
అనలేము	a n a l ee m u
అనలేం	a n a l ee q
అనలైజర్	a n a l ai j a r
అనవద్దని	a n a w a d d a n i
అనవసర	a n a w a s a r a
అనవసరమని	a n a w a s a r a m a n i
అనవసరమైన	a n a w a s a r a m ai n a
అనవసరం	a n a w a s a r a q
అనవసరంగా	a n a w a s a r a q g aa
అనసరించాలనే	a n a s a r i q c aa l a n ee
అనసూయమ్మ	a n a s uu y m m a
అనసూయమ్మకు	a n a s uu y m m a k u
అనా	a n aa
అనాగరికంగా	a n aa g a r i k a q g aa
అనాతవరం	a n aa t a w a r a q
అనాది	a n aa d i
అనాదికాలం	a n aa d i k aa l a q
అనాదిగా	a n aa d i g aa
అనాధ	a n aa dh a
అనాధలు	a n aa dh a l u
అనాధలుగా	a n aa dh a l u g aa
అనాధాలే	a n aa dh aa l ee
అనామాట	a n aa m aa tx a
అనాయసంగా	a n aa y a s a q g aa
అనారోగ్య	a n aa r oo g y a
అనారోగ్యానికి	a n aa r oo g y aa n i k i
అనారోగ్యాలు	a n aa r oo g y aa l u
అనారోగ్యం	a n aa r oo g y a q
అనారోగ్యంతో	a n aa r oo g y a q t oo
అనాలి	a n aa l i
అనాలోచిత	a n aa l oo c i t a
అనావృష్టి	a n aa w rq sx tx i
అనాస	a n aa s a
అని	a n i
అనికాదు	a n i k aa d u
అనికూడా	a n i k uu dx aa
అనికోవడం	a n i k oo w a dx a q
అనిచెప్పి	a n i c e p p i
అనిచేప్పుతులేడు	a n i c ee p p u t u l ee dx u
అనిటి	a n i tx i
అనిట్టిల్లో	a n i tx tx i l l oo
అనిత	a n i t a
అనితకు	a n i t a k u
అనితపై	a n i t a p ai
అనినట్టు	a n i n a tx tx u
అనిపిచ్చింది	a n i p i c c i q d i
అనిపిచ్చేది	a n i p i c c ee d i
అనిపిచ్చేసింది	a n i p i c c ee s i q d i
అనిపియ్యడు	a n i p i y y a dx u
అనిపిస్తది	a n i p i s t a d i
అనిపిస్తున్నారు	a n i p i s t u n n aa r u
అనిపిస్తుంది	a n i p i s t u q d i
అనిపిస్తూ	a n i p i s t uu
అనిపిస్తే	a n i p i s t ee
అనిపిస్తోందని	a n i p i s t oo q d a n i
అనిపిస్తోంది	a n i p i s t oo q d i
అనిపించక	a n i p i q c a k a
అనిపించట్లేదు	a n i p i q c a tx l ee d u
అనిపించడం	a n i p i q c a dx a q
అనిపించలేదు	a n i p i q c a l ee d u
అనిపించాలని	a n i p i q c aa l a n i
అనిపించి	a n i p i q c i
అనిపించినా	a n i p i q c i n aa
అనిపించింద	a n i p i q c i q d a
అనిపించింది	a n i p i q c i q d i
అనిపించిందండి	a n i p i q c i q d a q dx i
అనిపించుకుటున్నాయి	a n i p i q c u k u tx u n n aa y i
అనిపించుకుని	a n i p i q c u k u n i
అనిపించుకున్నాడు	a n i p i q c u k u n n aa dx u
అనిపించుకున్నారు	a n i p i q c u k u n n aa r u
అనిపించుకుంటున్నాడు	a n i p i q c u k u q tx u n n aa dx u
అనిపించుకుంటుందా	a n i p i q c u k u q tx u q d aa
అనిపించుకోదన్నారు	a n i p i q c u k oo d a n n aa r u
అనిపించుకోము	a n i p i q c u k oo m u
అనిపించే	a n i p i q c ee
అనిపించేది	a n i p i q c ee d i
అనిల్	a n i l
అనివార్య	a n i w aa r y a
అనివార్యతలో	a n i w aa r y a t a l oo
అనివార్యంగా	a n i w aa r y a q g aa
అనిశా	a n i sh aa
అనిశ్చితి	a n i sh c i t i
అనింది	a n i q d i
అనీ	a n ii
అనీషా	a n ii sx aa
అను	a n u
అనుకరణ	a n u k a r a nx a
అనుకరిస్తూ	a n u k a r i s t uu
అనుకరించి	a n u k a r i q c i
అనుకరించిన	a n u k a r i q c i n a
అనుకు	a n u k u
అనుకుని	a n u k u n i
అనుకునే	a n u k u n ee
అనుకునేది	a n u k u n ee d i
అనుకునేరు	a n u k u n ee r u
అనుకునేవారు	a n u k u n ee w aa r u
అనుకునేవాళ్లు	a n u k u n ee w aa lx l u
అనుకున్న	a n u k u n n a
అనుకున్నట్లు	a n u k u n n a tx l u
అనుకున్నట్లుగా	a n u k u n n a tx l u g aa
అనుకున్నది	a n u k u n n a d i
అనుకున్నప్పుడు	a n u k u n n a p p u dx u
అనుకున్నము	a n u k u n n a m u
అనుకున్నవి	a n u k u n n a w i
అనుకున్నా	a n u k u n n aa
అనుకున్నాడు	a n u k u n n aa dx u
అనుకున్నానని	a n u k u n n aa n a n i
అనుకున్నాను	a n u k u n n aa n u
అనుకున్నానో	a n u k u n n aa n oo
అనుకున్నామని	a n u k u n n aa m a n i
అనుకున్నాము	a n u k u n n aa m u
అనుకున్నామంటే	a n u k u n n aa m a q tx ee
అనుకున్నామండి	a n u k u n n aa m a q dx i
